NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Scranton--Wilkes-Barre, PA Metro Area",0.2804658740061551,0.72550894509562,0.4920374759992595,0.2804658740061551,,,,,,,,,,,,0.4993374317003448
"Seattle-Tacoma-Bellevue, WA Metro Area",0.4154473427477319,0.12647193544977275,0.12972959532327577,0.18642834889991045,0.23887992500200195,0.2855178559306061,0.3254318012403239,0.35984601744527267,0.38947569291477435,0.4154473427477319,,,,,,0.14754329322431967
"Sebastian-Vero Beach, FL Metro Area",0.1837334788407906,0.1837334788407906,,,,,,,,,,,,,,0.0
"Sebring-Avon Park, FL Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Sheboygan, WI Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Sherman-Denison, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Shreveport-Bossier City, LA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Sierra Vista-Douglas, AZ Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Sioux City, IA-NE-SD Metro Area",0.1409397800283132,0.1409397800283132,,,,,,,,,,,,,,0.0
"Sioux Falls, SD Metro Area",0.0,,,,,,,,,,,,,,,0.0
"South Bend-Mishawaka, IN-MI Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Spartanburg, SC Metro Area",0.07058823529411762,0.07058823529411762,,,,,,,,,,,,,,0.0
"Spokane-Spokane Valley, WA Metro Area",0.09306231069741944,0.04522993769576078,0.09306231069741944,,,,,,,,,,,,,0.0
"Springfield, IL Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Springfield, MA Metro Area",0.2775123074111654,0.3645107984449475,0.26229708925764217,0.2640510514153095,0.2775123074111654,,,,,,,,,,,0.2969529797059664
"Springfield, MO Metro Area",0.059940698991191255,0.059940698991191255,,,,,,,,,,,,,,0.0
"Springfield, OH Metro Area",0.20664467483506122,0.20664467483506122,,,,,,,,,,,,,,0.0
"St. Cloud, MN Metro Area",0.0,,,,,,,,,,,,,,,0.0
"St. George, UT Metro Area",0.5082415351720031,0.5082415351720031,,,,,,,,,,,,,,0.0
"St. Joseph, MO-KS Metro Area",0.04464156582943646,0.04464156582943646,,,,,,,,,,,,,,0.0
"St. Louis, MO-IL Metro Area",0.4785836011638741,0.1253831583449596,0.1510762877893964,0.19712902193368653,0.24784331344401944,0.29188623799351476,0.3301242688509304,0.36349422521031827,0.39247344703462816,0.4178194467420978,0.4403201632554721,0.46042743368788075,0.4785836011638741,,,0.1578628226893475
"State College, PA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Stockton, CA Metro Area",0.2214674619434276,0.46703982038728986,0.2452894221157802,0.2214674619434276,,,,,,,,,,,,0.31126556814883255
"Syracuse, NY Metro Area",0.15732840728956965,0.030745281183109596,0.08586584320988677,0.15732840728956965,,,,,,,,,,,,0.09131317722752201
"Tallahassee, FL Metro Area",0.10977142315170485,0.10977142315170485,,,,,,,,,,,,,,0.0
"Tampa-St. Petersburg-Clearwater, FL Metro Area",0.458248722848436,0.5464788516824526,0.4685902190790717,0.3562063503954408,0.3302472075294062,0.3319576202058325,0.33692727646213116,0.34999383805809403,0.3661825728001221,0.3830751231418581,0.3998471695287814,0.41600998289692637,0.43106837257704,0.44509609846532316,0.458248722848436,0.4570918070523217
"Terre Haute, IN Metro Area",0.09347130911474366,0.09347130911474366,,,,,,,,,,,,,,0.0
"Texarkana, TX-AR Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Toledo, OH Metro Area",0.24737548715303048,0.2375625315526183,0.26327206090142075,0.24737548715303048,,,,,,,,,,,,0.24940335986902318
"Topeka, KS Metro Area",0.08216322458642922,0.08216322458642922,,,,,,,,,,,,,,0.0
"Trenton-Princeton, NJ Metro Area",0.230371166706146,0.230371166706146,,,,,,,,,,,,,,0.0
"Tucson, AZ Metro Area",0.2448411958388712,0.38590541513188537,0.2117679135057654,0.21400428644011638,0.2448411958388712,,,,,,,,,,,0.2705592050259224
"Tulsa, OK Metro Area",0.08048279719472673,0.04184443155056483,0.08048279719472673,,,,,,,,,,,,,0.0
"Tuscaloosa, AL Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Twin Falls, ID Metro Area",0.17166479416933134,0.17166479416933134,,,,,,,,,,,,,,0.0
"Tyler, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Utica-Rome, NY Metro Area",0.15463917525773196,0.15463917525773196,,,,,,,,,,,,,,0.0
"Valdosta, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Vallejo, CA Metro Area",0.3122149859113361,0.4150311818547995,0.3660651059980423,0.3194498943017964,0.3122149859113361,,,,,,,,,,,0.36684872738487934
"Victoria, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Vineland-Bridgeton, NJ Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",0.3275014646456337,0.8260845383759733,0.308884179991577,0.19988468767011847,0.19278875490508618,0.21110148623233205,0.2341553168201861,0.2590117148018556,0.2834798431328883,0.3064593049765655,0.32750146464563357,,,,,0.44495113534588954
"Visalia, CA Metro Area",0.330566545235241,0.7243650353754361,0.5448626840174238,0.42352725349919984,0.3461399481526586,0.330566545235241,,,,,,,,,,0.5642516576306865
"Waco, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Walla Walla, WA Metro Area",0.3200890764181903,0.3200890764181903,,,,,,,,,,,,,,0.0
"Warner Robins, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",0.5192873709344458,0.3882144167687597,0.2937861253909887,0.30120090392453014,0.3234895192298416,0.34049801267101476,0.361317828634536,0.38192374482085467,0.40109345655223483,0.41979705137285306,0.4373253064644853,0.4535229004986492,0.46863003533974057,0.4825628940482982,0.4956116835853511,0.32773381536142615
"Waterloo-Cedar Falls, IA Metro Area",0.650101648972216,0.650101648972216,,,,,,,,,,,,,,0.0
"Watertown-Fort Drum, NY Metro Area",0.27870579970337994,0.27870579970337994,,,,,,,,,,,,,,0.0
"Wausau-Weston, WI Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Weirton-Steubenville, WV-OH Metro Area",0.27985977259779027,0.790995682861646,0.27985977259779027,,,,,,,,,,,,,0.0
"Wenatchee, WA Metro Area",0.0,,,,,,,,,,,,,,,0.0
