NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Elizabethtown-Fort Knox, KY Metro Area",1.8246,1.8246,,,,,,,,,,,,,,
"Elkhart-Goshen, IN Metro Area",,,,,,,,,,,,,,,,
"Elmira, NY Metro Area",,,,,,,,,,,,,,,,
"Enid, OK Metro Area",,,,,,,,,,,,,,,,
"Erie, PA Metro Area",0.0737,0.0737,,,,,,,,,,,,,,
"Eugene-Springfield, OR Metro Area",,,,,,,,,,,,,,,,
"Evansville, IN-KY Metro Area",,,,,,,,,,,,,,,,
"Fargo, ND-MN Metro Area",0.2294,0.2294,,,,,,,,,,,,,,
"Farmington, NM Metro Area",,,,,,,,,,,,,,,,
"Fayetteville, NC Metro Area",0.3234,0.3032,0.3234,,,,,,,,,,,,,
"Fayetteville-Springdale-Rogers, AR Metro Area",0.4708,0.7124,0.4708,,,,,,,,,,,,,
"Flagstaff, AZ Metro Area",,,,,,,,,,,,,,,,
"Flint, MI Metro Area",0.7374,0.144,0.2658,0.422,0.5566,0.6606,0.7374,,,,,,,,,0.2691
"Florence, SC Metro Area",0.3412,0.2757,0.3412,,,,,,,,,,,,,
"Florence-Muscle Shoals, AL Metro Area",,,,,,,,,,,,,,,,
"Fond du Lac, WI Metro Area",,,,,,,,,,,,,,,,
"Fort Collins, CO Metro Area",,,,,,,,,,,,,,,,
"Fort Smith, AR-OK Metro Area",,,,,,,,,,,,,,,,
"Fort Wayne, IN Metro Area",0.6999,0.2291,0.3198,0.4743,0.6031,0.6999,,,,,,,,,,0.334
"Fresno, CA Metro Area",0.5525,0.1439,0.2666,0.4193,0.5525,,,,,,,,,,,0.2685
"Gadsden, AL Metro Area",0.4346,0.4346,,,,,,,,,,,,,,
"Gainesville, FL Metro Area",0.0399,0.0399,,,,,,,,,,,,,,
"Gainesville, GA Metro Area",,,,,,,,,,,,,,,,
"Glens Falls, NY Metro Area",0.4685,0.4685,,,,,,,,,,,,,,
"Goldsboro, NC Metro Area",0.1963,0.1963,,,,,,,,,,,,,,
"Grand Forks, ND-MN Metro Area",,,,,,,,,,,,,,,,
"Grand Island, NE Metro Area",,,,,,,,,,,,,,,,
"Grand Junction, CO Metro Area",0.4172,0.4172,,,,,,,,,,,,,,
"Grand Rapids-Kentwood, MI Metro Area",0.529,0.0988,0.2232,0.3875,0.529,,,,,,,,,,,0.228
"Grants Pass, OR Metro Area",,,,,,,,,,,,,,,,
"Great Falls, MT Metro Area",,,,,,,,,,,,,,,,
"Greeley, CO Metro Area",0.5876,0.1605,0.2949,0.467,0.5876,,,,,,,,,,,0.2984
"Green Bay, WI Metro Area",1.3095,1.7125,1.3095,,,,,,,,,,,,,
"Greensboro-High Point, NC Metro Area",0.3837,0.5335,0.3837,,,,,,,,,,,,,
"Greenville, NC Metro Area",,,,,,,,,,,,,,,,
"Greenville-Anderson, SC Metro Area",0.2537,0.1152,0.2537,,,,,,,,,,,,,
"Gulfport-Biloxi, MS Metro Area",0.9374,1.0984,1.1703,0.9892,0.9374,,,,,,,,,,,1.0877
"Hagerstown-Martinsburg, MD-WV Metro Area",,,,,,,,,,,,,,,,
"Hammond, LA Metro Area",,,,,,,,,,,,,,,,
"Hanford-Corcoran, CA Metro Area",0.2138,0.2138,,,,,,,,,,,,,,
"Harrisburg-Carlisle, PA Metro Area",0.5684,0.1399,0.2834,0.4424,0.5684,,,,,,,,,,,0.2795
"Harrisonburg, VA Metro Area",,,,,,,,,,,,,,,,
"Hartford-East Hartford-Middletown, CT Metro Area",0.6794,0.9054,0.5672,0.5617,0.6208,0.6794,,,,,,,,,,0.6906
"Hattiesburg, MS Metro Area",,,,,,,,,,,,,,,,
"Hickory-Lenoir-Morganton, NC Metro Area",,,,,,,,,,,,,,,,
"Hilton Head Island-Bluffton, SC Metro Area",0.5116,0.5116,,,,,,,,,,,,,,
"Hinesville, GA Metro Area",,,,,,,,,,,,,,,,
"Homosassa Springs, FL Metro Area",1.1763,1.2056,1.1763,,,,,,,,,,,,,
"Hot Springs, AR Metro Area",,,,,,,,,,,,,,,,
"Houma-Thibodaux, LA Metro Area",0.722,1.0471,0.722,,,,,,,,,,,,,
