NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4,count_centers
"Madera, CA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Madison, WI Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Manchester-Nashua, NH Metro Area",0.06585492733361509,0.06585492733361509,,,,,,,,,,,,,,0.0,2
"Manhattan, KS Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Mankato, MN Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Mansfield, OH Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"McAllen-Edinburg-Mission, TX Metro Area",0.08435197141674244,0.04474798185220741,0.08435197141674244,,,,,,,,,,,,,0.0,3
"Medford, OR Metro Area",0.5512942671113228,0.5512942671113228,,,,,,,,,,,,,,0.0,2
"Memphis, TN-MS-AR Metro Area",0.3516739392734136,0.6876291856138901,0.23485390258111105,0.20000321616216243,0.21864039087143106,0.24615832936119686,0.2761469745851216,0.30513959302727345,0.33059049629258974,0.3516739392734137,,,,,,0.3741621014523879,10
"Merced, CA Metro Area",0.4291253663060485,0.5949502937189336,0.46613958221317997,0.4272687720540018,0.4291253663060485,,,,,,,,,,,0.4961195493287051,5
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.5842785378749437,0.5808594342047169,0.4225560069650255,0.3741413752497339,0.3739130050939905,0.38158239997431587,0.3964674580345213,0.40267128828921706,0.4138219694143226,0.426438788036007,0.4395637341164045,0.45272106630933817,0.4655791566992844,0.4779279548740598,0.48957922649188756,0.45918560547315873,27
"Michigan City-La Porte, IN Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Midland, MI Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Midland, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Milwaukee-Waukesha, WI Metro Area",0.195803587081537,0.9776779729186218,0.3137597541562772,0.16456452149629985,0.1416430030000766,0.15260697682214763,0.17281725391576108,0.195803587081537,,,,,,,,0.4853340828570663,8
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.42119624425807123,0.24736795448738336,0.23755739545895238,0.2741264317515544,0.2932426079713052,0.3217160708221888,0.35026416696472484,0.3761396057664764,0.3998703925661691,0.42119624425807123,,,,,,0.25301726056596335,10
"Missoula, MT Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Mobile, AL Metro Area",0.1703921079239521,0.9716417910447761,0.15946064509499625,0.1007423961447228,0.11401823512024134,0.14036921668856872,0.1703921079239521,,,,,,,,,0.41061494409483174,7
"Modesto, CA Metro Area",0.4325467079272697,0.5149511213341,0.490745800449095,0.4469516781785601,0.4261689548867049,0.4325467079272697,,,,,,,,,,0.4842161999872517,6
"Monroe, LA Metro Area",0.3062035450508076,0.6588959962094291,0.3062035450508076,,,,,,,,,,,,,0.0,3
"Monroe, MI Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Montgomery, AL Metro Area",0.11490040013446257,0.11490040013446257,,,,,,,,,,,,,,0.0,2
"Morgantown, WV Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Morristown, TN Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Mount Vernon-Anacortes, WA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Muncie, IN Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Muskegon, MI Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",0.24589856689684042,0.07968898728355844,0.12968383569519204,0.19213015983875104,0.24589856689684042,,,,,,,,,,,0.13383432760583383,5
"Napa, CA Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"Naples-Marco Island, FL Metro Area",0.1852756082492395,0.17832794160896182,0.1852756082492395,,,,,,,,,,,,,0.0,3
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",0.34369977892597203,0.8383460116176344,0.33872564984276454,0.2084105715201009,0.1945764487423054,0.2106319726287933,0.2319254008461863,0.2560544040589231,0.27977494941738756,0.3026286089044268,0.32392236328678836,0.34369977892597203,,,,0.46182741099349994,12
"New Bern, NC Metro Area",0.0,,,,,,,,,,,,,,,0.0,1
"New Haven-Milford, CT Metro Area",0.29121609819602623,0.28762710263701896,0.18814082055646153,0.21193377369725663,0.2514559844946179,0.29121609819602623,,,,,,,,,,0.22923389896357904,6
"New Orleans-Metairie, LA Metro Area",0.4655605034157152,0.2332740443375697,0.24146866492590957,0.2541115221724001,0.28763824314985253,0.3217490999692979,0.3530028841008537,0.3809080506859279,0.4055989097804019,0.42756902158351096,0.4475283677151559,0.4655605034157152,,,,0.24295141047862645,12
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.6751873774986363,0.5877062027218546,0.3356852310845203,0.2707897739514521,0.2772553398540636,0.2953284554676171,0.31727007896566306,0.3387076219279912,0.35984499925882896,0.3802486040012625,0.3994901167437859,0.41678929488727157,0.4325129802341263,0.4473049823236035,0.46111585008272715,0.3980604025859423,49
"Niles, MI Metro Area",0.16088525045095048,0.16088525045095048,,,,,,,,,,,,,,0.0,2
"North Port-Sarasota-Bradenton, FL Metro Area",0.3442335227140577,0.2500456533230814,0.19467352156270623,0.22788962209034525,0.2691937068401775,0.3086114568030256,0.3442335227140577,,,,,,,,,0.2242029323253776,7
