NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Detroit-Warren-Dearborn, MI Metro Area",0.3505363618094536,0.9339882812201588,0.5867188580360501,0.409748350060276,0.3381163516973478,0.3203657771023327,0.30741637662265087,0.30838022474217086,0.30857987082563376,0.3126384408283772,0.32030576035483005,0.3296545474265723,0.33985660122988903,0.3505363618094536,,0.643485163105495
"Dothan, AL Metro Area",1.0,,,,,,,,,,,,,,,
"Dover, DE Metro Area",1.0,,,,,,,,,,,,,,,
"Dubuque, IA Metro Area",0.2182921596272911,0.2182921596272911,,,,,,,,,,,,,,
"Duluth, MN-WI Metro Area",1.0,,,,,,,,,,,,,,,
"Durham-Chapel Hill, NC Metro Area",0.2923805568031701,0.649623879366606,0.2923805568031701,,,,,,,,,,,,,
"East Stroudsburg, PA Metro Area",1.0,,,,,,,,,,,,,,,
"Eau Claire, WI Metro Area",1.0,,,,,,,,,,,,,,,
"El Paso, TX Metro Area",0.03778708677066467,0.03778708677066467,,,,,,,,,,,,,,
"Elkhart-Goshen, IN Metro Area",1.0,,,,,,,,,,,,,,,
"Enid, OK Metro Area",1.0,,,,,,,,,,,,,,,
"Erie, PA Metro Area",0.06075008003152016,0.06075008003152016,,,,,,,,,,,,,,
"Eugene-Springfield, OR Metro Area",1.0,,,,,,,,,,,,,,,
"Evansville, IN-KY Metro Area",1.0,,,,,,,,,,,,,,,
"Fargo, ND-MN Metro Area",1.0,,,,,,,,,,,,,,,
"Farmington, NM Metro Area",1.0,,,,,,,,,,,,,,,
"Fayetteville, NC Metro Area",0.3708004360609164,0.3708004360609164,,,,,,,,,,,,,,
"Fayetteville-Springdale-Rogers, AR Metro Area",0.04414781750289709,0.04414781750289709,,,,,,,,,,,,,,
"Flagstaff, AZ Metro Area",0.20561730936370703,0.20561730936370703,,,,,,,,,,,,,,
"Flint, MI Metro Area",0.07820279919883344,0.026473772266509155,0.07820279919883344,,,,,,,,,,,,,
"Florence, SC Metro Area",1.0,,,,,,,,,,,,,,,
"Florence-Muscle Shoals, AL Metro Area",1.0,,,,,,,,,,,,,,,
"Fond du Lac, WI Metro Area",1.0,,,,,,,,,,,,,,,
"Fort Collins, CO Metro Area",1.0,,,,,,,,,,,,,,,
"Fort Smith, AR-OK Metro Area",1.0,,,,,,,,,,,,,,,
"Fort Wayne, IN Metro Area",0.07515332109074535,0.07515332109074535,,,,,,,,,,,,,,
"Fresno, CA Metro Area",0.08672302317445502,0.032599708171206276,0.08672302317445502,,,,,,,,,,,,,
"Gadsden, AL Metro Area",1.0,,,,,,,,,,,,,,,
"Gainesville, FL Metro Area",1.0,,,,,,,,,,,,,,,
"Gainesville, GA Metro Area",1.0,,,,,,,,,,,,,,,
"Glens Falls, NY Metro Area",0.23423660728984885,0.23423660728984885,,,,,,,,,,,,,,
"Goldsboro, NC Metro Area",1.0,,,,,,,,,,,,,,,
"Grand Forks, ND-MN Metro Area",1.0,,,,,,,,,,,,,,,
"Grand Island, NE Metro Area",1.0,,,,,,,,,,,,,,,
"Grand Junction, CO Metro Area",0.29825575464962084,0.29825575464962084,,,,,,,,,,,,,,
"Grand Rapids-Kentwood, MI Metro Area",0.024373751344705652,0.024373751344705652,,,,,,,,,,,,,,
"Grants Pass, OR Metro Area",1.0,,,,,,,,,,,,,,,
"Great Falls, MT Metro Area",1.0,,,,,,,,,,,,,,,
"Greeley, CO Metro Area",1.0,,,,,,,,,,,,,,,
"Green Bay, WI Metro Area",1.0,,,,,,,,,,,,,,,
"Greensboro-High Point, NC Metro Area",1.0,,,,,,,,,,,,,,,
"Greenville, NC Metro Area",1.0,,,,,,,,,,,,,,,
"Greenville-Anderson, SC Metro Area",0.07102992615623782,0.07102992615623782,,,,,,,,,,,,,,
"Gulfport-Biloxi, MS Metro Area",0.1474130783391081,0.965871068480928,0.1474130783391081,,,,,,,,,,,,,
