NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Grand Island, NE Metro Area",,,,,,,,,,,,,,,,
"Grand Junction, CO Metro Area",0.5965,0.5965,,,,,,,,,,,,,,
"Grand Rapids-Kentwood, MI Metro Area",0.0487,0.0487,,,,,,,,,,,,,,
"Grants Pass, OR Metro Area",,,,,,,,,,,,,,,,
"Great Falls, MT Metro Area",,,,,,,,,,,,,,,,
"Greeley, CO Metro Area",,,,,,,,,,,,,,,,
"Green Bay, WI Metro Area",0.6069,0.6069,,,,,,,,,,,,,,
"Greensboro-High Point, NC Metro Area",,,,,,,,,,,,,,,,
"Greenville, NC Metro Area",,,,,,,,,,,,,,,,
"Greenville-Anderson, SC Metro Area",0.1509,0.1509,,,,,,,,,,,,,,
"Gulfport-Biloxi, MS Metro Area",0.6419,1.3616,0.6419,,,,,,,,,,,,,
"Hagerstown-Martinsburg, MD-WV Metro Area",,,,,,,,,,,,,,,,
"Hammond, LA Metro Area",,,,,,,,,,,,,,,,
"Harrisburg-Carlisle, PA Metro Area",0.7202,1.0177,0.717,0.6867,0.7202,,,,,,,,,,,0.8189
"Harrisonburg, VA Metro Area",,,,,,,,,,,,,,,,
"Hartford-East Hartford-Middletown, CT Metro Area",0.5476,0.367,0.4352,0.5476,,,,,,,,,,,,0.4448
"Hattiesburg, MS Metro Area",,,,,,,,,,,,,,,,
"Hickory-Lenoir-Morganton, NC Metro Area",,,,,,,,,,,,,,,,
"Hinesville, GA Metro Area",,,,,,,,,,,,,,,,
"Homosassa Springs, FL Metro Area",,,,,,,,,,,,,,,,
"Hot Springs, AR Metro Area",,,,,,,,,,,,,,,,
"Houma-Thibodaux, LA Metro Area",,,,,,,,,,,,,,,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",0.7446,1.232,0.6073,0.5762,0.602,0.6371,0.6751,0.7126,0.7446,,,,,,,0.8288
"Huntington-Ashland, WV-KY-OH Metro Area",,,,,,,,,,,,,,,,
"Huntsville, AL Metro Area",,,,,,,,,,,,,,,,
"Idaho Falls, ID Metro Area",,,,,,,,,,,,,,,,
"Indianapolis-Carmel-Anderson, IN Metro Area",0.8733,1.1002,0.9086,0.9276,0.8528,0.8317,0.8368,0.8448,0.8544,0.8657,0.8733,,,,,0.9853
"Iowa City, IA Metro Area",0.2442,0.2442,,,,,,,,,,,,,,
"Ithaca, NY Metro Area",0.4366,0.4366,,,,,,,,,,,,,,
"Jackson, MI Metro Area",,,,,,,,,,,,,,,,
"Jackson, MS Metro Area",0.1152,0.1152,,,,,,,,,,,,,,
"Jackson, TN Metro Area",,,,,,,,,,,,,,,,
"Jacksonville, FL Metro Area",0.7824,1.9576,0.9772,0.7824,,,,,,,,,,,,1.2796
"Jacksonville, NC Metro Area",0.3226,0.3226,,,,,,,,,,,,,,
"Janesville-Beloit, WI Metro Area",0.6492,0.7737,0.6492,,,,,,,,,,,,,
"Jefferson City, MO Metro Area",,,,,,,,,,,,,,,,
"Johnson City, TN Metro Area",,,,,,,,,,,,,,,,
"Johnstown, PA Metro Area",,,,,,,,,,,,,,,,
"Jonesboro, AR Metro Area",,,,,,,,,,,,,,,,
"Joplin, MO Metro Area",0.2357,0.2357,,,,,,,,,,,,,,
"Kalamazoo-Portage, MI Metro Area",,,,,,,,,,,,,,,,
"Kankakee, IL Metro Area",,,,,,,,,,,,,,,,
"Kansas City, MO-KS Metro Area",0.8036,0.8118,0.9211,0.8544,0.8049,0.8036,,,,,,,,,,0.86
"Kennewick-Richland, WA Metro Area",0.572,0.572,,,,,,,,,,,,,,
"Killeen-Temple, TX Metro Area",0.2717,0.2717,,,,,,,,,,,,,,
"Kingsport-Bristol, TN-VA Metro Area",0.6515,1.017,0.6946,0.6515,,,,,,,,,,,,0.8005
"Kingston, NY Metro Area",,,,,,,,,,,,,,,,
"Knoxville, TN Metro Area",0.7306,0.7306,,,,,,,,,,,,,,
"Kokomo, IN Metro Area",,,,,,,,,,,,,,,,
"La Crosse-Onalaska, WI-MN Metro Area",,,,,,,,,,,,,,,,
"Lafayette, LA Metro Area",0.3062,0.2484,0.3062,,,,,,,,,,,,,
"Lafayette-West Lafayette, IN Metro Area",,,,,,,,,,,,,,,,
"Lake Charles, LA Metro Area",,,,,,,,,,,,,,,,
"Lakeland-Winter Haven, FL Metro Area",,,,,,,,,,,,,,,,
"Lancaster, PA Metro Area",,,,,,,,,,,,,,,,
"Lansing-East Lansing, MI Metro Area",0.0768,0.0768,,,,,,,,,,,,,,
"Laredo, TX Metro Area",,,,,,,,,,,,,,,,
"Las Cruces, NM Metro Area",,,,,,,,,,,,,,,,
"Las Vegas-Henderson-Paradise, NV Metro Area",0.7305,1.6333,1.7702,1.7298,1.1635,0.9714,0.857,0.789,0.751,0.7305,,,,,,1.707
"Lawrence, KS Metro Area",,,,,,,,,,,,,,,,
"Lawton, OK Metro Area",,,,,,,,,,,,,,,,
"Lebanon, PA Metro Area",0.1352,0.1352,,,,,,,,,,,,,,
"Lewiston, ID-WA Metro Area",,,,,,,,,,,,,,,,
"Lewiston-Auburn, ME Metro Area",,,,,,,,,,,,,,,,
"Lexington-Fayette, KY Metro Area",0.4844,1.5018,0.5491,0.4681,0.4844,,,,,,,,,,,0.8765
"Lima, OH Metro Area",,,,,,,,,,,,,,,,
"Lincoln, NE Metro Area",,,,,,,,,,,,,,,,
