NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4
"Detroit-Warren-Dearborn, MI Metro Area",-2.460226594809127,-14.643134860758932,-2.317415688209718,-2.071449398669504,-2.1124770556163153,-2.3447041842649083,-2.429114229673684,-2.596156890195741,-2.566102552439724,-2.447204518065981,-2.4262120611491285,-2.4328254883149505,-2.4602265948091224,,,-6.343999982546052
"Dothan, AL Metro Area",,,,,,,,,,,,,,,,
"Dover, DE Metro Area",,,,,,,,,,,,,,,,
"Dubuque, IA Metro Area",-0.6570643580742688,-0.6570643580742688,,,,,,,,,,,,,,
"Duluth, MN-WI Metro Area",,,,,,,,,,,,,,,,
"Durham-Chapel Hill, NC Metro Area",-1.008275400760501,-2.2132300040262267,-1.0082754007605006,,,,,,,,,,,,,
"East Stroudsburg, PA Metro Area",,,,,,,,,,,,,,,,
"Eau Claire, WI Metro Area",,,,,,,,,,,,,,,,
"El Paso, TX Metro Area",-0.3052700737663329,-0.3052700737663329,,,,,,,,,,,,,,
"Elkhart-Goshen, IN Metro Area",,,,,,,,,,,,,,,,
"Enid, OK Metro Area",,,,,,,,,,,,,,,,
"Erie, PA Metro Area",-0.35701702402281066,-0.3570170240228112,,,,,,,,,,,,,,
"Eugene-Springfield, OR Metro Area",,,,,,,,,,,,,,,,
"Evansville, IN-KY Metro Area",,,,,,,,,,,,,,,,
"Fargo, ND-MN Metro Area",,,,,,,,,,,,,,,,
"Farmington, NM Metro Area",,,,,,,,,,,,,,,,
"Fayetteville, NC Metro Area",-1.0079717773495163,-1.0079717773495163,,,,,,,,,,,,,,
"Fayetteville-Springdale-Rogers, AR Metro Area",-0.3204910654522293,-0.3204910654522293,,,,,,,,,,,,,,
"Flagstaff, AZ Metro Area",-0.6322157312512339,-0.6322157312512356,,,,,,,,,,,,,,
"Flint, MI Metro Area",-0.4090401267741911,-0.27536066477781246,-0.4090401267741911,,,,,,,,,,,,,
"Florence, SC Metro Area",,,,,,,,,,,,,,,,
"Florence-Muscle Shoals, AL Metro Area",,,,,,,,,,,,,,,,
"Fond du Lac, WI Metro Area",,,,,,,,,,,,,,,,
"Fort Collins, CO Metro Area",,,,,,,,,,,,,,,,
"Fort Smith, AR-OK Metro Area",,,,,,,,,,,,,,,,
"Fort Wayne, IN Metro Area",,,,,,,,,,,,,,,,
"Fresno, CA Metro Area",-0.6511798075081614,-0.3299951452409152,-0.4884804339180497,-0.6511798075081614,,,,,,,,,,,,-0.48988512888904207
"Gadsden, AL Metro Area",,,,,,,,,,,,,,,,
"Gainesville, FL Metro Area",,,,,,,,,,,,,,,,
"Gainesville, GA Metro Area",,,,,,,,,,,,,,,,
"Glens Falls, NY Metro Area",-0.6889787700151042,-0.6889787700151042,,,,,,,,,,,,,,
"Goldsboro, NC Metro Area",,,,,,,,,,,,,,,,
"Grand Forks, ND-MN Metro Area",,,,,,,,,,,,,,,,
"Grand Island, NE Metro Area",,,,,,,,,,,,,,,,
"Grand Junction, CO Metro Area",-0.8265802256037003,-0.8265802256037024,,,,,,,,,,,,,,
"Grand Rapids-Kentwood, MI Metro Area",-0.26923346744654203,-0.26923346744654203,,,,,,,,,,,,,,
"Grants Pass, OR Metro Area",,,,,,,,,,,,,,,,
"Great Falls, MT Metro Area",,,,,,,,,,,,,,,,
"Greeley, CO Metro Area",,,,,,,,,,,,,,,,
"Green Bay, WI Metro Area",,,,,,,,,,,,,,,,
"Greensboro-High Point, NC Metro Area",,,,,,,,,,,,,,,,
"Greenville, NC Metro Area",,,,,,,,,,,,,,,,
"Greenville-Anderson, SC Metro Area",-0.3781212974055485,-0.3781212974055485,,,,,,,,,,,,,,
"Gulfport-Biloxi, MS Metro Area",-0.9185574478902909,-0.886144095173031,-0.9185574478902917,,,,,,,,,,,,,
"Hagerstown-Martinsburg, MD-WV Metro Area",,,,,,,,,,,,,,,,
"Hammond, LA Metro Area",,,,,,,,,,,,,,,,
"Harrisburg-Carlisle, PA Metro Area",-1.4521113604519327,-1.4801344031066757,-1.066262535465417,-1.231152943070605,-1.4521113604519347,,,,,,,,,,,-1.2591832938808991
"Harrisonburg, VA Metro Area",,,,,,,,,,,,,,,,
"Hartford-East Hartford-Middletown, CT Metro Area",-0.9801531912778669,-0.5219427179187618,-0.758693197053422,-0.9801531912778669,,,,,,,,,,,,-0.7535963687500168
"Hattiesburg, MS Metro Area",,,,,,,,,,,,,,,,
"Hickory-Lenoir-Morganton, NC Metro Area",,,,,,,,,,,,,,,,
"Hinesville, GA Metro Area",,,,,,,,,,,,,,,,
"Hot Springs, AR Metro Area",,,,,,,,,,,,,,,,
"Houma-Thibodaux, LA Metro Area",,,,,,,,,,,,,,,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",-1.7338506746640139,-0.9067358351424145,-1.0634865628123487,-1.2608319179822018,-1.4265114495625508,-1.450354016704972,-1.5917782532754132,-1.7338506746640168,,,,,,,,-1.0770181053123216
"Huntington-Ashland, WV-KY-OH Metro Area",,,,,,,,,,,,,,,,
"Huntsville, AL Metro Area",,,,,,,,,,,,,,,,
"Idaho Falls, ID Metro Area",,,,,,,,,,,,,,,,
"Indianapolis-Carmel-Anderson, IN Metro Area",-2.6479163125431393,-1.5814001793673371,-1.459118215462659,-1.8159824948712115,-1.711912357194024,-1.8157449072190794,-2.0050244529101127,-2.1792517248608743,-2.3498942629387516,-2.5388991534793446,-2.6479163125431393,,,,,-1.6188336299004025
"Iowa City, IA Metro Area",-0.4755003558822977,-0.4755003558822982,,,,,,,,,,,,,,
"Ithaca, NY Metro Area",-0.6570749180203427,-0.6570749180203423,,,,,,,,,,,,,,
"Jackson, MI Metro Area",,,,,,,,,,,,,,,,
"Jackson, MS Metro Area",-0.346150088427739,-0.346150088427739,,,,,,,,,,,,,,
